date,symbol,open,high,low,close,volume,beta,company_name,daily_return,SMA_7,SMA_14,SMA_20,EMA_7,EMA_14,EMA_12,EMA_26,Volatility_7d,Volatility_14d,RSI_14,BB_Upper,BB_Lower,Day_of_Week,Month,Quarter,Open_Lag_1,High_Lag_1,Low_Lag_1,Close_Lag_1,Open_Lag_2,High_Lag_2,Low_Lag_2,Close_Lag_2,Open_Lag_3,High_Lag_3,Low_Lag_3,Close_Lag_3,MACD
2022-01-03,AAPL,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,104487900.0,1.2449984511949446,Apple Inc.,-0.012691806543931539,172.42149788992745,169.30952344621932,166.9403419494629,178.8799285888672,178.8799285888672,178.8799285888672,178.8799285888672,0.01446990380333618,0.012197081440808338,48.749996599555494,180.22894852833437,153.6517353705914,0,1,1,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,0.0
2022-01-04,AAPL,179.48923847391032,179.7939048717263,176.0395918494563,176.609619140625,99310400.0,1.2449984511949446,Apple Inc.,-0.012691806543931539,172.42149788992745,169.30952344621932,166.9403419494629,178.31235122680664,178.5772206624349,178.53065021221454,178.71175751862702,0.01446990380333618,0.012197081440808338,48.749996599555494,180.22894852833437,153.6517353705914,1,1,1,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,-0.1811073064124855
2022-01-05,AAPL,176.52121279952414,177.07157997213048,171.63668164807183,171.911865234375,94537600.0,1.2449984511949446,Apple Inc.,-0.02659964915336477,172.42149788992745,169.30952344621932,166.9403419494629,176.71222972869873,177.68850660536026,177.51237560023924,178.2080617938676,0.01446990380333618,0.012197081440808338,23.92923369564255,180.22894852833437,153.6517353705914,2,1,1,179.48923847391032,179.7939048717263,176.0395918494563,176.609619140625,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,-0.6956861936283758
2022-01-06,AAPL,169.73004270966848,172.28533602057317,168.68827412789958,169.04208374023438,96904000.0,1.2449984511949446,Apple Inc.,-0.016693329981779526,172.42149788992745,169.30952344621932,166.9403419494629,174.79469323158264,176.53565022334345,176.2092537756231,177.52910045656145,0.01446990380333618,0.012197081440808338,43.95336988649636,180.22894852833437,153.6517353705914,3,1,1,176.52121279952414,177.07157997213048,171.63668164807183,171.911865234375,179.48923847391032,179.7939048717263,176.0395918494563,176.609619140625,174.77182016673515,179.73497720500467,174.653888631977,178.8799285888672,-1.3198466809383547
2022-01-07,AAPL,169.91675609783337,171.14525945761193,168.08874249862777,169.20913696289062,86709100.0,1.2449984511949446,Apple Inc.,0.000988234521014153,172.42149788992745,169.30952344621932,166.9403419494629,173.39830416440964,175.55878178861641,175.13231272751042,176.91280686443767,0.01446990380333618,0.012197081440808338,72.93264516208654,180.22894852833437,153.6517353705914,4,1,1,169.73004270966848,172.28533602057317,168.68827412789958,169.04208374023438,176.52121279952414,177.07157997213048,171.63668164807183,171.911865234375,179.48923847391032,179.7939048717263,176.0395918494563,176.609619140625,-1.7804941369272456
2022-01-10,AAPL,166.17228843262194,169.53347199078678,165.27793434356843,169.2288055419922,106765600.0,1.2449984511949446,Apple Inc.,0.00011623828035878248,172.42149788992745,169.30952344621932,166.9403419494629,172.35592950880527,174.7147849557332,174.22408085281532,176.34362158129358,0.01446990380333618,0.012197081440808338,18.40000089959608,180.22894852833437,153.6517353705914,0,1,1,169.91675609783337,171.14525945761193,168.08874249862777,169.20913696289062,169.73004270966848,172.28533602057317,168.68827412789958,169.04208374023438,176.52121279952414,177.07157997213048,171.63668164807183,171.911865234375,-2.119540728478256
2022-01-11,AAPL,169.35651679474637,172.16731726269964,167.8823131944984,172.0690460205078,76138300.0,1.2449984511949446,Apple Inc.,0.01678343393974302,172.42149788992745,169.30952344621932,166.9403419494629,172.2842086367309,174.3620197643698,173.8925370324603,176.0269863545687,0.01446990380333618,0.012197081440808338,57.58822641656403,180.22894852833437,153.6517353705914,1,1,1,166.17228843262194,169.53347199078678,165.27793434356843,169.2288055419922,169.91675609783337,171.14525945761193,168.08874249862777,169.20913696289062,169.73004270966848,172.28533602057317,168.68827412789958,169.04208374023438,-2.134449322108395
2022-01-12,AAPL,173.09120251884048,174.13297095610363,171.8135710369917,172.5113525390625,74805200.0,1.2449984511949446,Apple Inc.,0.0025705176426791265,171.51170131138392,169.30952344621932,166.9403419494629,172.3409946123138,174.1152641343288,173.68004711039907,175.76656903490158,0.01446990380333618,0.012197081440808338,63.21644205100421,180.22894852833437,153.6517353705914,2,1,1,169.35651679474637,172.16731726269964,167.8823131944984,172.0690460205078,166.17228843262194,169.53347199078678,165.27793434356843,169.2288055419922,169.91675609783337,171.14525945761193,168.08874249862777,169.20913696289062,-2.086521924502506
2022-01-13,AAPL,172.7570637657418,173.5826144650006,168.835675449693,169.2288055419922,84505800.0,1.2449984511949446,Apple Inc.,-0.019028005686333227,170.4572993687221,169.30952344621932,166.9403419494629,171.5629473447334,173.46373632201727,172.99524071525957,175.28229025764904,0.015205270534466903,0.012197081440808338,46.52352792625952,180.22894852833437,153.6517353705914,3,1,1,173.09120251884048,174.13297095610363,171.8135710369917,172.5113525390625,169.35651679474637,172.16731726269964,167.8823131944984,172.0690460205078,166.17228843262194,169.53347199078678,165.27793434356843,169.2288055419922,-2.287049542389468
2022-01-14,AAPL,168.3933990992247,170.7914399169012,168.1476984416165,170.09365844726562,80440800.0,1.2449984511949446,Apple Inc.,0.005110553741152657,170.1975555419922,169.30952344621932,166.9403419494629,171.19562512036646,173.0143926053837,172.54884344326052,174.8979471605836,0.012526019737058839,0.012197081440808338,47.787140919809296,180.22894852833437,153.6517353705914,4,1,1,172.7570637657418,173.5826144650006,168.835675449693,169.2288055419922,173.09120251884048,174.13297095610363,171.8135710369917,172.5113525390625,169.35651679474637,172.16731726269964,167.8823131944984,172.0690460205078,-2.3491037173230893
